Listado de Proyectos DESAPROBADO

ID;TITULAR;RUC;TITULO_PROYECTO;UNIDAD_PROYECTO;TIPO;ACTIVIDAD;FECHA_INICIO;ESTADO;DESCRIPCION;LONGITUD;LATITUD;RESOLUCION;LABEL
"158";"PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE NACIONAL - PROVIAS NACIONAL";"20503503639";"EVAP PARA EL PUENTE RIO GRANDE, UBICADOS EN LOS CORREDORES VIA NACIONAL RUTA 1S: TRAMO ICA - DV. QUILCA - REPARTICION, RUTA 1SD: TRAMO LOS CERILLOS - ISLAY - MOLLENDO - ILO - EL POZO, RUTA PE38: TRAM*";"PUENTE RIO GRANDE, UBICADOS EN LOS CORREDORES VIA NACIONAL RUTA 1S: TRAMO ICA - DV. QUILCA - REPARTICION, RUTA 1SD: TRAMO LOS CERILLOS - ISLAY - MOLLENDO - ILO - EL POZO, RUTA PE38: TRAMO TACNA - TARATA (SNIP 303240)";"Clasificación";"Transportes";"31/07/2018";"Desaprobado";"SIN DESCRIPCION";"-75.20613489";"-14.5074053";"RD N° 00039-2018-SENACE-PE/DEIN";"null";
"160";"SIERRA ANTAPITE S.A.C.";"20601434335";"2° INFORME TÉCNICO SUSTENTATORIO DEL EIA PROYECTO DE AMPLIACIÓN DE OPERACIONES MINERO - METALÚRGICAS";"ANTAPITE";"ITS";"Minería";"23/02/2019";"Desaprobado";"SIN DESCRIPCION";"-75.07036832";"-13.97353012";"RD N° 081-2019-SENACE-PE/DEAR";"null";
"168";"COMPAÑÍA MINERA PODEROSA S.A.";"20137025354";"PRIMER ITS  PARA LAS MODIFICACIONES MENORES DEL TRAZO DE LA LÍNEA DE TRANSMISIÓN PARA EVACUAR LA ENERGÍA QUE SE GENERARÍA EN LAS CENTRALES HIDROELÉCTRICAS CATIVÉN I, CATIVÉN II Y NIMPANA";"LAVASÉN";"ITS";"Minería";"06/06/2019";"Desaprobado";"SIN DESCRIPCION";"-78.09653173";"-7.89876313";"RD N° 0124-2019-SENACE-PE/DEAR";"null";
"157";"MUNICIPALIDAD DISTRITAL DE CHOLON";"20321337547";"SOLICITUD DE CLASIFICACION DE ESTUDIOS AMBIENTALES DEL PROYECTO CREACION DEL PUENTE SOBRE EL RIO HUALLAGA - PUERTO MEGOTE C.P. PARAISO DISTRITO DE CHOLON - MARAÑON - HUANUCO. CODIGO SNIP 299566";"SIN UNIDAD";"Clasificación";"Transportes";"18/04/2018";"Desaprobado";"SIN DESCRIPCION";"-76.35326431";"-8.47401729";"RD N° 00062-2018-SENACE-PE/DEIN";"null";
"189";"ARUNTANI S.A.C.";"20466327612";"CUARTO INFORME TÉCNICO SUSTENTATORIO DE LA UNIDAD MINERA ARASI: CANTERA JESSICA NORTE";"U.M. ARASI";"ITS";"Minería";"16/03/2018";"Desaprobado";"SIN DESCRIPCION";"-70.8286";"-15.2466";"RD N° 061-2018-SENACE-JEF/DEAR ";"null";
"170";"PETROLEOS DEL PERU PETROPERU SA";"20100128218";"INFORME TECNICO SUSTENTATORIO PARA EL PROYECTO %u201CMODIFICACIÓN Y MEJORA TECNOLÓGICA EN EL RELLENO DE SEGURIDAD MILLA SEIS DE PETROPERU S.A.-REFINERIA TALARA%u201D";"REFINERÍA TALARA";"ITS";"Hidrocarburos";"07/05/2021";"Desaprobado";"SIN DESCRIPCION";"-81.2034";"-4.5881";"RD N° 00161-2021-SENACE-PE/DEAR";"null";
"218";"GOBIERNO REGIONAL MADRE DE DIOS";"20527143200";"DIA "MEJORAMIENTO DE LA RED VIAL DEPARTAMENTAL MD-102 TRAMO CHAPAJAL- EMBARCADERO BOTAFOGO %u2013 DISTRITO DE TAMBOPATA %u2013 PROVINCIA DE TAMBOPATA %u2013 REGION MADRE DE DIOS"";"MEJORAMIENTO DE LA RED VIAL DEPARTAMENTAL MD-102 TRAMO CHAPAJAL- EMBARCADERO BOTAFOGO %u2013 DISTRITO DE TAMBOPATA %u2013 PROVINCIA DE TAMBOPATA %u2013 REGION MADRE DE DIOS";"Clasificación";"Transportes";"23/08/2018";"Desaprobado";"SIN DESCRIPCION";"-69.1976068";"-12.60707186";"RD N° 00060-2019-SENACE-PE/DEIN";"null";
"242";"HYDRO GLOBAL PERU S.A.C.";"20600538251";"INFORME TÉCNICO SUSTENTATORIO (ITS) N° 6 PARA EL PROYECTO CENTRAL HIDROELÉCTRICA SAN GABAN III";"C.H. SAN GABÁN III";"ITS";"Electricidad";"16/01/2023";"Desaprobado";"SIN DESCRIPCION";"-70.42015403";"-13.50379073";"RD N° 00096-2023-SENACE-PE/DEAR";"null";
"247";"SOCIEDAD MINERA EL BROCAL S.A.A.";"20100017572";"TERCER INFORME TÉCNICO SUSTENTATORIO PARA LA AMPLIACION DEL TAJO NORTE, AMPLIACIÓN DEL DEPOSITO DE DESMONTES CONDORCAYÁN Y EL REAPROVECHAMIENTO DE RELAVES HUARAUCACA";"U.M. COLQUIJIRCA";"ITS";"Minería";"07/01/2017";"Desaprobado";"SIN DESCRIPCION";"-76.2856";"-10.7663";"RD N° 048-2017-SENACE/DCA";"null";
"251";"ENGIE ENERGIA PERU S.A.";"20333363900";"MEJORA TECNOLÓGICA DEL PROGRAMA DE MONITOREO AMBIENTAL DE CALIDAD DE AGUA DE MAR DE LA CENTRAL TERMOELÉCTRICA CHILCA 1";"C.T. CHILCA 1";"ITS";"Electricidad";"22/05/2021";"Desaprobado";"SIN DESCRIPCION";"-76.7603";"-12.5384";"RD N° 00140-2021-SENACE-PE/DEAR";"null";
