Listado de Proyectos EN EVALUACION

ID;TITULAR;RUC;TITULO_PROYECTO;UNIDAD_PROYECTO;TIPO;ACTIVIDAD;FECHA_INICIO;ESTADO;DESCRIPCION;LONGITUD;LATITUD;RESOLUCION;LABEL
"176";"GRANJA HUERTO SAN MARTIN DE PORRES SAC";"20506322708";"EVALUACIÓN AMBIENTAL PRELIMINAR (EVAP) DEL PROYECTO %u201CGRANJA SARAPAMPA 1%u201D";"SARAPAMPA 1";"Clasificación";"Agricultura";"23/12/2023";"En Evaluación";"SIN DESCRIPCION";"-76.49260931";"-12.80916451";"";"null";
"181";"PROYECTO ESPECIAL AFIANZAMIENTO Y AMPLIACION RECURSOS HIDRICOS DE TACNA";"20170639520";"SEGUNDA ETAPA DEL PROYECTO DE POZOS TUBULARES DE REEMPLAZO";"POZOS TUBULARES DE REEMPLAZO";"Clasificación";"Agricultura";"14/12/2023";"En Evaluación";"SIN DESCRIPCION";"-70.49856027";"-18.19376157";"";"null";
"183";"OLYMPIC PERU INC SUCURSAL DEL PERU";"20305875539";"INFORME TECNICO SUSTENTATORIO PARA LA MODIFICACION DE LA UBICACION, TAMAÑO DE LAS PLATAFORMAS, LINEAS DE FLUJO Y VIAS DE ACCESO DE 14 POZOS DE GAS EN EL LOTE XIII-B";"LOTE XIII-B";"ITS";"Hidrocarburos";"13/12/2023";"En Evaluación";"SIN DESCRIPCION";"-80.9872737";"-5.34577537";"";"null";
"197";"NORCOBRE S.A.C.";"20608945297";"Acogimiento a TdR Comunes para la Segunda Modificación del Estudio de Impacto Ambiental De la U.E.A. Contonga.";"CONTONGA";"Cls Anticipada";"Minería";"03/01/2024";"En Evaluación";"SIN DESCRIPCION";"-77.08228827";"-9.50000535";"";"null";
"198";"GERENCIA TERRITORIAL BAJO MAYO - TARAPOTO";"20488943996";"CREACION DEL PUENTE CARROZABLE SOBRE EL RIO PONAZA, EN LA LOCALIDAD DE HUAÑIPO, DEL DISTRITO DE TINGO DE PONASA - PROVINCIA DE PICOTA - DEPARTAMENTO DE SAN MARTIN%u201D CUI: Nº 2472156.";"GOBIERNO REGIONAL DE SAN MARTIN";"Clasificación";"Transportes";"08/04/2024";"En Evaluación";"SIN DESCRIPCION";"-76.19606362";"-7.00461681";"";"null";
"199";"MUNICIPALIDAD PROVINCIAL DE LA MAR";"20189212195";"CREACIÓN DEL CAMINO VECINAL DE 32.00 Km EN 4 LOCALIDADES DEL DISTRITO DE CHUNGUI, PROVINCIA DE LA MAR %u2013 DEPARTAMENTO DE AYACUCHO%u201D";"Creación del Camino Vecinal de 32km - La Mar";"Clasificación";"Transportes";"06/04/2024";"En Evaluación";"SIN DESCRIPCION";"-73.52907437";"-13.33865862";"";"null";
"201";"PROGRAMA REGIONAL DE RIEGO Y DRENAJE";"20199860551";"AMPLIACIÓN DEL SERVICIO DE AGUA PARA RIEGO MEDIANTE LA CONSTRUCCIÓN DE LA REPRESA SAPANCOTA DEL DISTRITO DE PUCARA-PROVINCIA DE LAMPA%u2013DEPARTAMENTO DE PUNO";"CONSTRUCCION DE REPRESA";"Clasificación";"Agricultura";"25/03/2024";"En Evaluación";"SIN DESCRIPCION";"-70.52191507";"-15.0828643";"";"null";
"190";"GOBIERNO REGIONAL DE LIMA";"20530688390";"MEJORAMIENTO Y AMPLIACIÓN DEL SERVICIO DE TRANSITABILIDAD VEHICULAR PEATONAL DEL CIRCUITO BICENTENARIO DE LA INDEPENDENCIA EN 5 DISTRITOS DE LA PROVINCIA DE HUAURA %u2013 DEPARTAMENTO DE LIMA";"SERVICIO DE TRANSITABILIDAD VEHICULAR";"Clasificación";"Transportes";"13/03/2024";"En Evaluación";"SIN DESCRIPCION";"-77.59890691";"-11.07029457";"";"null";
"192";"MUNICIPALIDAD PROVINCIAL CONDORCANQUI";"20178082222";"CREACIÓN Y MEJORAMIENTO DEL CAMINO VECINAL DE LOS TRAMOS URACUZA, CHIANGOS, ALTO WAISIN, CENTRO WAISIN, BAJO WAISIN, YANTANA ENTSA, CENTRO TUNDUZA Y PUERTO TUNDUZA, DISTRITO DE NIEVA, PROVINCIA DE CONDORCANQUI, DEPARTAMENTO DE AMAZONAS";"MUNICIPALIDAD PROVINCIAL CONDORCANQUI";"Clasificación";"Transportes";"28/02/2024";"En Evaluación";"SIN DESCRIPCION";"-77.87646845";"-4.77724868";"";"null";
"195";"PETROTAL PERU S.R.L.";"20513842377";"ITS Para el Control de Erosión Mediante Tablaestacas en la Locación 2A - Lote 95";"LOTE 95";"ITS";"Hidrocarburos";"09/01/2024";"En Evaluación";"SIN DESCRIPCION";"-74.32812263";"-5.24383096";"";"null";
"180";"PLUSPETROL PERU CORPORATION S.A.";"20304177552";"INFORME TÉCNICO SUSTENTATORIO PARA LA MODIFICACIÓN DEL COMPONENTE HELIPUERTOS DE LA LÍNEA DE CONDUCCIÓN DE GAS CASHIRIARI 1 %u2013 MALVINAS, LOTE 88";"LOTE 88";"ITS";"Hidrocarburos";"16/12/2023";"En Evaluación";"SIN DESCRIPCION";"-72.80173306";"-11.8930472";"";"null";
"249";"VOLCAN COMPANIA MINERA S.A.A.";"20383045267";"PLAN DE PARTICIPACIÓN CIUDADANA DEL ESTUDIO DE IMPACTO AMBIENTAL DETALLADO INTEGRACIÓN DE LAS UNIDADES MINERAS CARAHUACRA Y SAN CRISTÓBAL - MAHR TÚNEL";"CARAHUACRA";"PPC";"Minería";"31/03/2023";"En Evaluación";"SIN DESCRIPCION";"-76.09600683";"-11.70387967";"";"null";
"208";"COMPAÑIA MINERA KOLPA S.A.";"20600020022";"SEGUNDA MODIFICACIÓN DEL ESTUDIO DE IMPACTO AMBIENTAL EXCEPCIONAL PARA EL PROYECTO DE AMPLIACIÓN DE CAPACIDAD DE 2500 TPD DE LA UNIDAD HUACHOCOLPA UNO";"HUACHOCOLPA UNO";"MEIA-d";"Minería";"25/04/2023";"En Evaluación";"SIN DESCRIPCION";"-74.99354277";"-13.08194727";"";"null";
"289";"CIA MINERA RAURA S A";"20100163552";"EXPLOTACIÓN, BENEFICIO Y LABOR GENERAL MINERO METÁLICOS";"RAURA";"MEIA-d";"Minería";"20/07/2022";"En Evaluación";"SIN DESCRIPCION";"-76.74447031";"-10.44664501";"";"null";
"472";"BEAR CREEK MINING S.A.C.";"20519387043";"TERCER INFORME TÉCNICO SUSTENTATORIO DEL PROYECTO CORANI";"CORANI";"ITS";"Minería";"06/11/2023";"En Evaluación";"SIN DESCRIPCION";"-70.64864614";"-14.07821876";"";"null";
